stage,tier,benchmark,method,setting,approx_fidelity,pauli_rot,qco_t,qco_clifford,note
heuristic+final,F_gt_0.99,Heisenberg-3D-60,zero-sweep-heuristic,F>=0.99,0.990078460592,332,10554,12031,fast; drop=67 snap=0
heuristic+final,F_gt_0.9,Heisenberg-3D-60,zero-sweep-heuristic,F>=0.9,0.900472302032,48,1568,1791,fast; drop=351 snap=0
heuristic+final,F_gt_0.999,N2,zero-sweep-heuristic,F>=0.999,0.999002800511,225,6740,8038,fast; drop=2725 snap=0
heuristic+final,F_gt_0.99,N2,zero-sweep-heuristic,F>=0.99,0.990216361236,19,602,690,fast; drop=2931 snap=0
heuristic+final,F_gt_0.9,N2,zero-sweep-heuristic,F>=0.9,0.916114687074,3,96,107,fast; drop=2946 snap=1
heuristic+final,F_gt_0.999,H2S,zero-sweep-heuristic,F>=0.999,0.999000356136,346,10932,13746,fast; drop=4235 snap=0
heuristic+final,F_gt_0.99,H2S,zero-sweep-heuristic,F>=0.99,0.990252993479,84,2728,3576,fast; drop=4497 snap=0
heuristic+final,F_gt_0.9,H2S,zero-sweep-heuristic,F>=0.9,0.90579634647,10,332,385,fast; drop=4571 snap=0
heuristic+final,F_gt_0.999,CO2,zero-sweep-heuristic,F>=0.999,0.999001780783,887,27948,40179,fast; drop=15266 snap=0
heuristic+final,F_gt_0.99,CO2,zero-sweep-heuristic,F>=0.99,0.990007574503,73,2144,2799,fast; drop=16080 snap=0
heuristic+final,F_gt_0.9,CO2,zero-sweep-heuristic,F>=0.9,0.901470062203,7,238,278,fast; drop=16146 snap=0
