 0.68636+0.02591j, -0.14247-0.06541j,  0.01304+0.15738j,-0.31667-0.61517j, -0.     -0.j     ,  0.     +0.j     , 0.     +0.j     ,  0.     +0.j     ,  0.     +0.j     , 0.     -0.j     , -0.     +0.j     , -0.     +0.j     , 0.     -0.j     ,  0.     -0.j     ,  0.     +0.j     ,-0.     +0.j     
 0.12326+0.09687j,  0.33653+0.59876j,  0.35906-0.59143j, 0.02406-0.15608j,  0.     -0.j     , -0.     +0.j     , 0.     +0.j     , -0.     -0.j     , -0.     -0.j     ,-0.     -0.j     , -0.     +0.j     ,  0.     -0.j     , 0.     -0.j     , -0.     +0.j     , -0.     +0.j     ,-0.     -0.j     
 0.63981+0.26337j, -0.11191-0.11142j,  0.04183-0.15109j, 0.08401+0.6817j , -0.     -0.j     ,  0.     +0.j     ,-0.     +0.j     , -0.     -0.j     , -0.     -0.j     , 0.     +0.j     , -0.     +0.j     , -0.     +0.j     , 0.     -0.j     ,  0.     -0.j     ,  0.     +0.j     ,-0.     +0.j     
 0.08281+0.13447j,  0.10974+0.68314j, -0.53735+0.42781j,-0.07594+0.13715j,  0.     -0.j     , -0.     -0.j     ,-0.     -0.j     , -0.     -0.j     , -0.     -0.j     , 0.     -0.j     , -0.     +0.j     ,  0.     -0.j     , 0.     +0.j     , -0.     -0.j     , -0.     -0.j     ,-0.     -0.j     
-0.     +0.j     , -0.     -0.j     , -0.     -0.j     , 0.     -0.j     , -0.     -0.j     ,  0.     +0.j     , 0.     -0.j     , -0.     +0.j     ,  0.     +0.j     ,-0.     +0.j     , -0.     +0.j     ,  0.     +0.j     , 0.63611+0.2591j , -0.11151-0.1102j , -0.04157+0.15235j,-0.08717-0.68638j
 0.     +0.j     ,  0.     +0.j     ,  0.     +0.j     ,-0.     -0.j     ,  0.     +0.j     ,  0.     -0.j     ,-0.     -0.j     , -0.     -0.j     , -0.     -0.j     , 0.     -0.j     ,  0.     +0.j     ,  0.     +0.j     , 0.0827 +0.13318j,  0.11145+0.67775j,  0.53969-0.43296j, 0.07599-0.13844j
-0.     +0.j     , -0.     +0.j     ,  0.     -0.j     , 0.     +0.j     , -0.     +0.j     , -0.     +0.j     , 0.     +0.j     , -0.     +0.j     , -0.     -0.j     ,-0.     -0.j     ,  0.     +0.j     , -0.     +0.j     , 0.51114+0.46631j, -0.06705-0.14298j,  0.09098-0.12767j,-0.15421+0.66932j
 0.     -0.j     ,  0.     -0.j     ,  0.     +0.j     ,-0.     -0.j     ,  0.     +0.j     ,  0.     -0.j     , 0.     -0.j     ,  0.     -0.j     ,  0.     +0.j     , 0.     +0.j     ,  0.     +0.j     , -0.     +0.j     , 0.03182+0.15468j, -0.13053+0.67947j, -0.65126+0.21823j,-0.11827+0.1029j 
 0.     -0.j     ,  0.     +0.j     ,  0.     +0.j     ,-0.     +0.j     ,  0.65126+0.21823j, -0.11827-0.1029j ,-0.03182+0.15468j, -0.13053-0.67947j,  0.     +0.j     ,-0.     +0.j     ,  0.     -0.j     , -0.     +0.j     , 0.     +0.j     , -0.     -0.j     ,  0.     -0.j     , 0.     -0.j     
 0.     +0.j     ,  0.     +0.j     ,  0.     +0.j     ,-0.     -0.j     ,  0.09098+0.12767j,  0.15421+0.66932j, 0.51114-0.46631j,  0.06705-0.14298j, -0.     +0.j     ,-0.     -0.j     ,  0.     -0.j     ,  0.     -0.j     ,-0.     -0.j     ,  0.     -0.j     , -0.     -0.j     ,-0.     -0.j     
 0.     +0.j     , -0.     +0.j     , -0.     -0.j     ,-0.     +0.j     ,  0.53969+0.43296j, -0.07599-0.13844j, 0.0827 -0.13318j, -0.11145+0.67775j, -0.     -0.j     , 0.     -0.j     , -0.     -0.j     ,  0.     +0.j     ,-0.     +0.j     ,  0.     +0.j     , -0.     +0.j     ,-0.     -0.j     
-0.     -0.j     , -0.     +0.j     , -0.     +0.j     ,-0.     -0.j     ,  0.04157+0.15235j, -0.08717+0.68638j,-0.63611+0.2591j , -0.11151+0.1102j , -0.     -0.j     ,-0.     +0.j     , -0.     +0.j     , -0.     +0.j     , 0.     +0.j     ,  0.     +0.j     , -0.     -0.j     ,-0.     +0.j     
-0.     +0.j     ,  0.     +0.j     , -0.     -0.j     ,-0.     +0.j     ,  0.     -0.j     , -0.     +0.j     ,-0.     -0.j     , -0.     -0.j     ,  0.53735+0.42781j,-0.07594-0.13715j, -0.08281+0.13447j,  0.10974-0.68314j,-0.     +0.j     ,  0.     +0.j     , -0.     -0.j     , 0.     +0.j     
 0.     +0.j     , -0.     -0.j     , -0.     +0.j     ,-0.     -0.j     , -0.     -0.j     ,  0.     +0.j     ,-0.     +0.j     , -0.     +0.j     ,  0.04183+0.15109j,-0.08401+0.6817j ,  0.63981-0.26337j,  0.11191-0.11142j,-0.     -0.j     , -0.     -0.j     ,  0.     -0.j     , 0.     +0.j     
 0.     +0.j     ,  0.     +0.j     , -0.     +0.j     , 0.     -0.j     , -0.     -0.j     , -0.     +0.j     ,-0.     +0.j     , -0.     -0.j     ,  0.35906+0.59143j,-0.02406-0.15608j,  0.12326-0.09687j, -0.33653+0.59876j,-0.     -0.j     ,  0.     -0.j     ,  0.     -0.j     , 0.     -0.j     
-0.     -0.j     , -0.     +0.j     , -0.     +0.j     ,-0.     -0.j     , -0.     +0.j     , -0.     -0.j     , 0.     -0.j     ,  0.     -0.j     , -0.01304+0.15738j,-0.31667+0.61517j, -0.68636+0.02591j, -0.14247+0.06541j, 0.     +0.j     ,  0.     +0.j     ,  0.     +0.j     ,-0.     +0.j     
